number of vertices,solver,mean,std,rank
100,IHS,0.5886826000000001,0.10463431991088679,5.0
100,MHACO,0.5043458,0.07791769962944774,6.0
100,MOEA/D-DE,0.8250529666666666,0.12484588079197079,2.0
100,NS-BRKGA,0.7961858666666667,0.08306796887332822,3.0
100,NSGA-II,0.8949427666666666,0.0499027095717142,1.0
100,NSPSO,0.7931407333333333,0.1077250744182115,4.0
200,IHS,0.4999212333333333,0.09414178430346552,5.0
200,MHACO,0.47816716666666664,0.05921999484976123,6.0
200,MOEA/D-DE,0.8117091666666667,0.16342408351345478,3.0
200,NS-BRKGA,0.8459059333333333,0.040721712594340834,2.0
200,NSGA-II,0.9062630333333334,0.04890770054485346,1.0
200,NSPSO,0.7268313333333334,0.10544808559970965,4.0
500,IHS,0.542825,0.057609824987613384,5.0
500,MHACO,0.5389282666666666,0.037122628074636815,6.0
500,MOEA/D-DE,0.6999280333333334,0.109431837099625,3.0
500,NS-BRKGA,0.8757636000000001,0.0615647096709549,2.0
500,NSGA-II,0.8963745333333333,0.05116897514404555,1.0
500,NSPSO,0.6585056666666667,0.07509866580124075,4.0
1000,IHS,0.6326054,0.029178312530205443,6.0
1000,MHACO,0.6338078666666667,0.016787266242978414,5.0
1000,MOEA/D-DE,0.7267412666666666,0.06515243557409642,3.0
1000,NS-BRKGA,0.8796063333333334,0.05566245096536138,1.0
1000,NSGA-II,0.8739706666666667,0.03414498362241103,2.0
1000,NSPSO,0.6742259333333334,0.038760475472096385,4.0
2000,IHS,0.7127099,0.012966191340798894,6.0
2000,MHACO,0.7182578333333333,0.012128723300591037,5.0
2000,MOEA/D-DE,0.7650209333333333,0.03173140437672986,3.0
2000,NS-BRKGA,0.8897488,0.04718698887105687,1.0
2000,NSGA-II,0.8591185333333333,0.018972036008990643,2.0
2000,NSPSO,0.7371436,0.01876156868597667,4.0
